year,school_id,school_name,week,rank
2007,air-force,Air Force Falcons,Pre,
2007,air-force,Air Force Falcons,11/14,
2007,air-force,Air Force Falcons,11/21,
2007,air-force,Air Force Falcons,11/28,
2007,air-force,Air Force Falcons,12/5,
2007,air-force,Air Force Falcons,12/12,24
2007,air-force,Air Force Falcons,12/19,24
2007,air-force,Air Force Falcons,12/26,23
2007,air-force,Air Force Falcons,1/2,20
2007,air-force,Air Force Falcons,1/9,18
2007,air-force,Air Force Falcons,1/16,13
2007,air-force,Air Force Falcons,1/23,16
2007,air-force,Air Force Falcons,1/30,17
2007,air-force,Air Force Falcons,2/6,15
2007,air-force,Air Force Falcons,2/13,17
2007,air-force,Air Force Falcons,2/20,14
2007,air-force,Air Force Falcons,2/27,25
2007,air-force,Air Force Falcons,3/6,
2007,air-force,Air Force Falcons,Final,
2004,air-force,Air Force Falcons,Pre,
2004,air-force,Air Force Falcons,11/25,
2004,air-force,Air Force Falcons,12/2,
2004,air-force,Air Force Falcons,12/9,
2004,air-force,Air Force Falcons,12/16,
2004,air-force,Air Force Falcons,12/23,
2004,air-force,Air Force Falcons,12/31,
2004,air-force,Air Force Falcons,1/6,
2004,air-force,Air Force Falcons,1/13,
2004,air-force,Air Force Falcons,1/20,
2004,air-force,Air Force Falcons,1/27,
2004,air-force,Air Force Falcons,2/3,
2004,air-force,Air Force Falcons,2/10,
2004,air-force,Air Force Falcons,2/17,
2004,air-force,Air Force Falcons,2/24,
2004,air-force,Air Force Falcons,3/2,
2004,air-force,Air Force Falcons,3/9,25
2004,air-force,Air Force Falcons,Final,
2012,alabama,Alabama Crimson Tide,Pre,19
2012,alabama,Alabama Crimson Tide,11/14,16
2012,alabama,Alabama Crimson Tide,11/21,13
2012,alabama,Alabama Crimson Tide,11/28,12
2012,alabama,Alabama Crimson Tide,12/5,16
2012,alabama,Alabama Crimson Tide,12/12,23
2012,alabama,Alabama Crimson Tide,12/19,
2012,alabama,Alabama Crimson Tide,12/26,
2012,alabama,Alabama Crimson Tide,1/2,
2012,alabama,Alabama Crimson Tide,1/9,
2012,alabama,Alabama Crimson Tide,1/16,
2012,alabama,Alabama Crimson Tide,1/23,
2012,alabama,Alabama Crimson Tide,1/30,
2012,alabama,Alabama Crimson Tide,2/6,
2012,alabama,Alabama Crimson Tide,2/13,
2012,alabama,Alabama Crimson Tide,2/20,
2012,alabama,Alabama Crimson Tide,2/27,
2012,alabama,Alabama Crimson Tide,3/5,
2012,alabama,Alabama Crimson Tide,Final,
2007,alabama,Alabama Crimson Tide,Pre,11
2007,alabama,Alabama Crimson Tide,11/14,10
2007,alabama,Alabama Crimson Tide,11/21,8
2007,alabama,Alabama Crimson Tide,11/28,6
2007,alabama,Alabama Crimson Tide,12/5,4
2007,alabama,Alabama Crimson Tide,12/12,9
2007,alabama,Alabama Crimson Tide,12/19,10
2007,alabama,Alabama Crimson Tide,12/26,8
2007,alabama,Alabama Crimson Tide,1/2,8
2007,alabama,Alabama Crimson Tide,1/9,14
2007,alabama,Alabama Crimson Tide,1/16,10
2007,alabama,Alabama Crimson Tide,1/23,12
2007,alabama,Alabama Crimson Tide,1/30,19
2007,alabama,Alabama Crimson Tide,2/6,18
2007,alabama,Alabama Crimson Tide,2/13,25
2007,alabama,Alabama Crimson Tide,2/20,25
2007,alabama,Alabama Crimson Tide,2/27,
2007,alabama,Alabama Crimson Tide,3/6,
2007,alabama,Alabama Crimson Tide,Final,
